label,message
"spam","A password reset was requested for your Instagram account. If this was not you, secure your account now: [malicious_link]"
"ham","I'm so sorry to hear that. Let me know if you need anything."
"spam","As a thank you for being a loyal customer, we're giving you a $50 credit. Claim it here:"
"ham","Can you send me his number? I lost it."
"ham","Just saw your post, congrats!"
"spam","Your mobile is running out of storage. Download our free cleaner app to boost performance and free up space."
"ham","I have no idea what's going on."
"spam","You have a new friend suggestion on Facebook. Click to see who it is."
"ham","Ugh, I have so much work to do."
"ham","What are you up to this weekend?"
"spam","You're a top contender for the £1000 Tesco gift card. Enter your details now to confirm your spot."
"ham","That's hilarious! I'm dying."
"spam","Your Apple ID is due to be terminated. To prevent this, please verify your account details immediately."
"ham","I'll be there, but I might be a little late."
"spam","FREE message: You have an outstanding balance of $24.99. Pay now to avoid service interruption."
"ham","I really need a vacation."
"ham","It's not a big deal, don't worry about it."
"spam","We've noticed you're a frequent visitor. Get a free coffee on us! Show this message to the barista."
"ham","She said what?! No way."
"spam","Your PayPal account has been limited. Please log in to restore full access."
"ham","I'm not feeling it today."
"ham","Did you get my email?"
"spam","Someone commented on your photo. Reply to this text to comment back."
"ham","I'll grab it on my way home."
"spam","Your federal student loan is eligible for forgiveness. Call our advisors now for a free consultation."
"ham","The movie starts at 8:15."
"spam","Final notice regarding your unclaimed property. We are holding a package for you. Schedule delivery now."
"ham","I'm so excited for the concert!"
"ham","Can we talk about this later?"
"spam","You've been selected to test the new iPhone. Keep it for free after testing. Limited spots available."
"ham","I'm in the middle of something, can I call you back?"
"spam","Your order #58293 has been shipped. Track your package here:"
"ham","Let's just order a pizza."
"spam","Single ladies in your area are waiting to chat with you. Reply now to connect."
"ham","I miss you! We need to hang out soon."
"ham","It's fine, honestly."
"spam","Your Walmart order is ready for pickup."
"ham","I don't think that's a good idea."
"spam","Your computer has been infected with a virus. All your files are encrypted. Pay to get them back."
"ham","Happy anniversary you two!"
"spam","You have 3 new notifications. Log in to view them."
"ham","I'm having a bad hair day."
"spam","Your Amazon account has been suspended for security reasons. Please re-verify your account information."
"ham","I'm at the front, where are you?"
"spam","Urgent security alert for your bank account. A new device has been registered. If this wasn't you, click here."
"ham","I'm just so tired of everything."
"spam","You received a new file via Dropbox. Click the link to view the document."
"ham","I'm not sure I'll be able to make it."
"ham","That makes sense. Thanks for explaining."
"spam","You've received a new match on Tinder! See who likes you."
"ham","I'll think about it."
"spam","Your electricity bill is overdue. Pay now to avoid disconnection."
"ham","Good luck on your exam tomorrow!"
"spam","A new episode of your favorite show is now on Netflix."
"ham","I'm just heading to bed. Talk to you tomorrow."
"spam","You have been overcharged on your last bill. Claim your refund here."
"ham","That was a close call!"
"spam","Your request for a new job has been received. A recruiter will contact you shortly."
"spam","You recieved a direct deposit of $13963.99 + No Deposit Requried"


